Date,Price,Open,High,Low,ChangePct
4/20/2020,25.57,28.05,28.25,25.37,-8.94
4/17/2020,28.08,28.66,28.93,27.58,0.93
4/16/2020,27.82,28.05,29,27.2,0.47
4/15/2020,27.69,30.26,30.33,27.16,-6.45
4/14/2020,29.6,32.25,32.32,29.38,-6.74
4/13/2020,31.74,33.99,33.99,30.63,0.83
4/9/2020,31.48,33.82,36.4,31.18,-4.14
4/8/2020,32.84,32.63,33.87,31.54,3.04
4/7/2020,31.87,33.66,34.18,31.74,-3.57
4/6/2020,33.05,31.76,34.24,30.03,-3.11
4/3/2020,34.11,29.89,35,28.25,13.93
4/2/2020,29.94,25.61,36.29,25.45,21.02
4/1/2020,24.74,25.99,26.28,24.52,8.8
3/31/2020,22.74,23,23.87,22.59,-0.09
3/30/2020,22.76,23.85,24.44,21.65,-8.7
3/27/2020,24.93,26.68,27,24.13,-5.35
3/26/2020,26.34,27.35,27.75,26.03,-3.83
3/25/2020,27.39,27.8,28.29,25.68,0.88
3/24/2020,27.15,27.72,28.65,26.69,0.44
3/23/2020,27.03,26.75,27.54,24.68,0.19
3/20/2020,26.98,28.1,30.94,26.81,-5.23
3/19/2020,28.47,27.19,29.42,24.96,14.43
3/18/2020,24.88,28.4,29.21,24.52,-13.4
3/17/2020,28.73,30.14,31.25,28.5,-4.39
3/16/2020,30.05,35.82,35.84,29.45,-11.23
3/13/2020,33.85,32.85,36.15,32.5,1.9
3/12/2020,33.22,35.99,36.46,32.5,-7.18
3/11/2020,35.79,37.27,39.7,35.35,-3.84
3/10/2020,37.22,35.84,38.22,35,8.32
3/9/2020,34.36,38.28,38.34,31.02,-24.1
3/6/2020,45.27,50.25,50.45,45.18,-9.44
3/5/2020,49.99,51.66,52.04,49.7,-2.23
3/4/2020,51.13,52.11,53.03,51.04,-1.41
3/3/2020,51.86,53.47,53.9,51.22,-0.08
3/2/2020,51.9,48.95,53.2,48.4,2.73
2/28/2020,50.52,51.42,51.52,50.05,-3.18
2/27/2020,52.18,53.18,53.25,50.97,-2.34
2/26/2020,53.43,55.13,55.45,53.03,-2.77
2/25/2020,54.95,56.46,56.98,54.62,-2.4
2/24/2020,56.3,57.85,57.86,55.13,-3.76
2/21/2020,58.5,59,59.25,57.73,-1.37
2/20/2020,59.31,59.31,60,58.9,0.32
2/19/2020,59.12,57.6,59.4,57.51,2.37
2/18/2020,57.75,57.35,57.83,56.3,0.14
2/17/2020,57.67,57.29,57.7,56.83,0.61
2/14/2020,57.32,56.41,57.53,56.15,1.74
2/13/2020,56.34,55.75,56.83,54.96,0.99
2/12/2020,55.79,54.41,56.36,54.39,3.3
2/11/2020,54.01,53.62,54.69,53.6,1.39
2/10/2020,53.27,54.2,54.71,53.11,-2.2
2/7/2020,54.47,55.14,55.4,54.21,-0.84
2/6/2020,54.93,55.56,56.58,54.25,-0.63
2/5/2020,55.28,54.05,56.46,54.05,2.45
2/4/2020,53.96,54.33,55.65,53.69,-0.9
2/3/2020,54.45,56.16,56.77,54.08,-6.38
1/31/2020,58.16,59.3,59.45,57.94,-0.22
1/30/2020,58.29,59.6,59.65,57.71,-2.54
1/29/2020,59.81,59.86,60.62,59.26,0.5
1/28/2020,59.51,59.03,60.12,58.5,0.32
1/27/2020,59.32,60.23,60.49,58.5,-2.26
1/24/2020,60.69,62.01,62.46,60.25,-2.18
1/23/2020,62.04,62.68,62.69,61.25,-1.85
1/22/2020,63.21,64.57,64.58,62.62,-2.14
1/21/2020,64.59,65.26,65.35,64.06,-0.94
1/20/2020,65.2,65.98,66,64.92,0.54
1/17/2020,64.85,64.69,65.6,64.48,0.36
1/16/2020,64.62,64.26,64.97,63.9,0.97
1/15/2020,64,64.44,64.6,63.55,-0.76
1/14/2020,64.49,64.29,65.05,63.92,0.45
1/13/2020,64.2,65.13,65.27,63.92,-1.2
1/10/2020,64.98,65.29,65.66,64.86,-0.6
1/9/2020,65.37,66,66.1,64.56,-0.11
1/8/2020,65.44,71.22,71.75,64.94,-4.15
1/7/2020,68.27,68.63,68.75,67.65,-0.93
1/6/2020,68.91,69.35,70.74,68.21,0.45
1/3/2020,68.6,66.28,69.5,66.22,3.55
1/2/2020,66.25,66.41,66.58,65.72,0.38
