Date,Price,Open,High,Low
21-Jun-18,73.05,74.46,74.69,72.93
20-Jun-18,74.74,75.2,75.86,74.1
19-Jun-18,75.08,75.24,75.55,74.45
18-Jun-18,75.34,73.06,75.49,72.45
15-Jun-18,73.44,75.98,76.06,73
14-Jun-18,75.94,76.56,76.92,75.76
13-Jun-18,76.74,75.4,76.87,75.26
12-Jun-18,75.88,76.5,77.07,75.43
11-Jun-18,76.46,76.3,76.84,75.52
8-Jun-18,76.46,77.39,77.61,76.12
7-Jun-18,77.32,75.88,77.45,75.44
6-Jun-18,75.36,75.19,76.25,74.46
5-Jun-18,75.38,75.4,75.74,73.81
4-Jun-18,75.29,76.66,76.95,75.2
1-Jun-18,76.79,77.71,77.95,76.35
31-May-18,77.59,77.37,78.75,77.04
30-May-18,77.5,75.37,77.73,74.81
29-May-18,75.39,75.82,76.2,74.54
28-May-18,75.3,76.11,76.17,74.49
25-May-18,76.44,78.82,78.88,76.01
24-May-18,78.79,79.65,79.78,78.57
23-May-18,79.8,79.47,79.85,78.21
22-May-18,79.57,79.36,80.49,79.16
21-May-18,79.22,78.61,79.59,78.1
18-May-18,78.51,79.46,79.87,78.33
17-May-18,79.3,79.26,80.5,79.12
16-May-18,79.28,78.1,79.35,77.61
15-May-18,78.43,78.42,79.47,77.9
14-May-18,78.23,77.05,78.53,76.55
11-May-18,77.12,77.55,77.6,76.95
10-May-18,77.47,77.44,78,76.51
9-May-18,77.21,76.19,77.43,76.08
8-May-18,74.85,75.6,76.18,73.1
7-May-18,76.17,75,76.34,74.83
4-May-18,74.87,73.74,75.08,73.24
3-May-18,73.62,73.07,74.09,72.47
2-May-18,73.36,73.28,73.63,72.38
1-May-18,73.13,74.65,74.98,72.74
30-Apr-18,75.17,74.62,75.41,73.47
27-Apr-18,74.64,74.72,75.03,74.35
26-Apr-18,74.74,74.23,74.97,74.11
25-Apr-18,74,74,74.19,73.17
24-Apr-18,73.86,75.09,75.47,73.68
23-Apr-18,74.71,73.77,75.1,73.13
20-Apr-18,74.06,73.94,74.2,72.83
19-Apr-18,73.78,73.72,74.75,73.46
18-Apr-18,73.48,71.72,73.93,71.66
17-Apr-18,71.58,71.65,71.89,70.83
16-Apr-18,71.42,72.7,72.85,71.11
13-Apr-18,72.58,71.94,72.88,71.56
12-Apr-18,72.02,72.09,72.49,71.1
