Company Symbol,Security,GICS Sector,GICS Sub-Industry,Shares,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020
MMC,Marsh & McLennan,Financials,Insurance Brokers,507191000,112.05,113.45,108.01,82.02,97.1,106.7,107.53,115.82,115.48,114.23,104.89,116.34
MLM,Martin Marietta Materials,Materials,Construction Materials,62274000,276.61,272.37,236.9,186.12,186.59,195.96,208.97,208.08,207.86,234.87,270.99,275.47
MAS,Masco Corp.,Industrials,Building Products,261676000,48.27,48.2,43.35,33.2,40.04,46.7,49.65,57.72,59.36,55.14,54.74,53.83
MA,Mastercard Inc.,Information Technology,Data Processing & Outsourced Services,988470000,303.39,324.52,306.74,228.61,268.74,301.4,301.17,312.59,356.9,343.37,289.97,338.88
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,248696000,83.77,81.58,76.24,69.31,77.21,88.29,89.75,98.15,102.97,96.6,92.59,93.64
MXIM,Maxim Integrated Products Inc,Information Technology,Semiconductors,267301000,62.43,60.84,57.81,46.02,52.06,57.86,59.69,68.88,69.35,69.28,69.82,84.22
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,745111000,200.79,215.18,202.55,158.17,182.66,187.41,184.66,194.4,212.69,219.59,212.56,216.14
MCK,McKesson Corp.,Health Care,Health Care Distributors,160564000,138.69,143.9,150.41,133.06,134.7,158.94,150.91,159.9,150.22,146.96,152.03,179
MDT,Medtronic plc,Health Care,Health Care Equipment,1346020000,114.56,117.99,102.62,84.11,95.14,97.11,92.32,97.33,107.52,102.3,102.43,112.14
MRK,Merck & Co.,Health Care,Pharmaceuticals,2530034000,92.04,87.34,81.37,73.8,77.67,79.56,78.12,82.54,84.43,81.64,76.71,81.55
MET,MetLife Inc.,Financials,Life & Health Insurance,899949000,51.62,49.69,44.56,27.9,34.68,36.37,35.51,37.3,38.5,37.26,38.7,46.91
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,23795000,805.06,758.06,724.14,656.24,689.16,803.43,804.79,926.43,975.89,970.92,1043.25,1160.09
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,493939000,33.66,31.21,25.05,11.77,15.01,17.8,16.77,16.32,22.77,21.82,20.97,28.81
MCHP,Microchip Technology,Information Technology,Semiconductors,260376000,107.6,97.55,95.22,62.79,81.52,95.74,103.12,104.87,112.35,107.05,105.11,136.97
MU,Micron Technology,Information Technology,Semiconductors,1113222000,55.39,53.78,54.59,39.89,45.06,46.34,49.7,50.39,45.76,47.92,49.71,67.08
MSFT,Microsoft Corp.,Information Technology,Systems Software,7560496000,160.62,174.38,172.79,152.11,174.57,182.83,204.7,216.54,227.27,212.46,202.33,216.21
MAA,Mid-America Apartments,Real Estate,Residential REITs,114370000,129.61,137.15,135.4,98.74,109.63,117.57,117.67,116.88,116.55,120.29,119.84,124.59
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,71199000,134.79,133.17,120.86,66.92,83.38,93.09,97.51,79.45,91.93,98.4,114.69,126.73
